Province,feature_name,shap_value,feature_value,base_value,predicted_pm25
Lamphun,pm25_roll_mean_12h,0.031258296,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_mean_24h,-0.3917914,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_mean_48h,-0.0004940792,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_mean_168h,0.07560738,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_std_3h,0.059628405,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_std_6h,0.07578681,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_std_12h,-0.12191108,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_std_24h,0.022934433,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_std_48h,-0.026636641,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_std_168h,0.0040559815,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_max_3h,-1.6218133,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_max_6h,0.04638852,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_max_12h,0.010529698,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_max_24h,-0.099491164,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_max_48h,0.02463429,0.0,0.48551037907600403,0.0
Lamphun,pm25_roll_max_168h,0.010511278,0.0,0.48551037907600403,0.0
Lamphun,hotspot_roll_sum_24h,-0.005787948,0.0,0.48551037907600403,0.0
Lamphun,hotspot_roll_sum_48h,-0.011577748,0.0,0.48551037907600403,0.0
Lamphun,hotspot_roll_sum_168h,-0.011450921,0.0,0.48551037907600403,0.0
Lamphun,frp_roll_sum_24h,-0.0008773999,0.0,0.48551037907600403,0.0
Lamphun,frp_roll_sum_48h,-0.010037762,0.0,0.48551037907600403,0.0
Lamphun,frp_roll_sum_168h,-0.019857312,0.0,0.48551037907600403,0.0
Lamphun,pm25_delta_1h,0.21706256,0.0,0.48551037907600403,0.0
Lamphun,pm25_delta_24h,-0.033926483,0.0,0.48551037907600403,0.0
Lamphun,humidity_delta_1h,-0.03237531,0.0,0.48551037907600403,0.0
Lamphun,humidity_delta_24h,0.00040800526,3.0,0.48551037907600403,0.0
Mae Hong Son,temperature_2m,-0.05361784,25.2,0.48551037907600403,0.0
Mae Hong Son,relative_humidity_2m,-0.23243257,97.0,0.48551037907600403,0.0
Mae Hong Son,precipitation_log,-0.1195361,1.1631508098056809,0.48551037907600403,0.0
Mae Hong Son,surface_pressure,0.09026457,975.6,0.48551037907600403,0.0
Mae Hong Son,wind_speed_10m,0.059522193,0.0,0.48551037907600403,0.0
Mae Hong Son,wind_dir_sin,0.0017658811,-1.0,0.48551037907600403,0.0
Mae Hong Son,wind_dir_cos,-0.043649103,-1.8369701987210297e-16,0.48551037907600403,0.0
Mae Hong Son,hotspot_log,0.002071997,0.0,0.48551037907600403,0.0
Mae Hong Son,frp_sum_log,-0.00084207475,0.0,0.48551037907600403,0.0
Mae Hong Son,frp_mean_log,0.012739751,0.0,0.48551037907600403,0.0
Mae Hong Son,hour_sin,-0.180841,-0.25881904510252157,0.48551037907600403,0.0
Mae Hong Son,hour_cos,0.057223916,0.9659258262890681,0.48551037907600403,0.0
Mae Hong Son,month_sin,-0.012889612,-0.4999999999999997,0.48551037907600403,0.0
Mae Hong Son,month_cos,-0.027859494,-0.8660254037844388,0.48551037907600403,0.0
Mae Hong Son,day_sin,0.02479798,-0.20129852008866114,0.48551037907600403,0.0
Mae Hong Son,day_cos,0.005010936,0.9795299412524943,0.48551037907600403,0.0
Mae Hong Son,is_haze_season,-0.00029381155,0.0,0.48551037907600403,0.0
